Centro;12;Lazio;56;Viterbo;1;56001;56001;56001;56001;A040;Acquapendente;0;3;420;0;T;131,61;5.655;http://www.comuneacquapendente.it;PIAZZA G. FABRIZIO 17                   ;1021;0763/73091       ;protocollo@comuneacquapendente.it                                                                   ;comuneacquapendente@legalmail.it
Centro;12;Lazio;56;Viterbo;2;56002;56002;56002;56002;A412;Arlena di Castro;0;3;260;0;NM;21,87;886;http://www.comune.arlenadicastro.vt.it/;PIAZZA S GIOVANNI 3                     ;1010;0761/430951      ;anagrafe@comune.arlenadicastro.vt.it;amministrazione@pec.comune.arlenadicastro.vt.it
Centro;12;Lazio;56;Viterbo;3;56003;56003;56003;56003;A577;Bagnoregio;0;3;484;0;NM;72,81;3.674;http://www.comune.bagnoregio.vt.it;PIAZZA S.AGOSTINO 21                    ;1022;0761/780815      ;affarigenerali@comunebagnoregio.it                                                                  ;comune.bagnoregio.vt@legalmail.it
Centro;12;Lazio;56;Viterbo;4;56004;56004;56004;56004;A628;Barbarano Romano;0;3;340;0;NM;37,56;1.085;http://www.comunebarbaranoromano.it/;PIAZZA G. MARCONI 21                    ;1010;0761/414601      ;sindaco@comunebarbaranoromano.it;comune.barbaranoromano@pec.it
Centro;12;Lazio;56;Viterbo;6;56006;56006;56006;56006;A706;Bassano in Teverina;0;3;304;0;NM;12,17;1.277;http://www.comune.bassanointeverina.vt.it/;VIA XXV APRILE 10                       ;1030;0761/407012;sindaco@comune.bassanointeverina.vt.it;uffici@pec.comune.bassanointeverina.vt.it
Centro;12;Lazio;56;Viterbo;5;56005;56005;56005;56005;A704;Bassano Romano;0;3;360;0;NM;37,55;4.834;http://www.comune.bassanoromano.vt.it/;PIAZZA  UMBERTO I° 6                    ;1030;0761/636901;sindaco@comune.bassanoromano.vt.it;bassanoromano@legalmail.it
Centro;12;Lazio;56;Viterbo;7;56007;56007;56007;56007;A857;Blera;0;3;270;0;NM;92,92;3.356;http://www.comuneblera.gov.it/ ;VIA ROMA, 8                             ;1010;0761/470093      ;sindaco@comuneblera.gov.it;uffici@pec.comuneblera.gov.it
Centro;12;Lazio;56;Viterbo;8;56008;56008;56008;56008;A949;Bolsena;0;3;350;0;NM;63,57;4.137;http://www.comunebolsena.it ;LARGO LA SALLE 3                        ;1023;0761/7951        ;segreteriasindaco@comunebolsena.it;postacertificata@pec.comune.bolsena.vt.it
Centro;12;Lazio;56;Viterbo;9;56009;56009;56009;56009;A955;Bomarzo;0;3;263;0;NM;39,65;1.814;http://www.comune.bomarzo.vt.it/;VIA BORGHESE, 10                        ;1020;0761/924021      ;ufficiotecnico@comunebomarzo.it;comunebomarzo@pec.it
Centro;12;Lazio;56;Viterbo;10;56010;56010;56010;56010;B388;Calcata;0;3;220;0;NM;7,63;905;http://www.comune.calcata.vt.it/ ;PIAZZA RISORGIMENTO  1                ;1030;0761/587021      ;sindaco@comunecalcata.it                                                                            ;protocollo@pec.comunecalcata.it
Centro;12;Lazio;56;Viterbo;11;56011;56011;56011;56011;B597;Canepina;0;3;501;0;T;20,85;3.149;http://www.comunedicanepina.it ;PIAZZA GARIBALDI 23                     ;1030;0761/750990      ;sindaco@comune.canepina.vt.it;comunedicanepina@legalmail.it
Centro;12;Lazio;56;Viterbo;12;56012;56012;56012;56012;B604;Canino;0;3;229;0;NM;124,04;5.270;http://www.comune.canino.vt.it;VIA ROMA N 1                            ;1011;0761/43391       ;urp@comune.canino.vt.it;comune.canino.vt@legalmail.it
Centro;12;Lazio;56;Viterbo;13;56013;56013;56013;56013;B663;Capodimonte;0;3;334;0;NM;61,29;1.741;http://www.comune.capodimonte.vt.it ;PIAZZA DELLA ROCCA 4                    ;1010;0761/870043      ;sindaco@comune.capodimonte.vt.it                                                                    ;comunecapodimonte@itpec.it
Centro;12;Lazio;56;Viterbo;14;56014;56014;56014;56014;B688;Capranica;0;3;370;0;NM;40,97;6.644;http://www.comune.capranica.vt.it ;CORSO F. PETRARCA, 40                   ;1012;0761/66791;segreteria@comune.capranica.vt.it;comunedicapranica@legalmail.it
